date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:48:28	36211/36211	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20May%202016%2005:48:24%20GMT	http://museopedrodeosma.org/en/mapa-de-las-salas-del-museo/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/mapa-de-las-salas-del-museo/index.html	(from http://museopedrodeosma.org/en/)
00:48:32	37277/37277	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20May%202016%2005:48:27%20GMT	http://museopedrodeosma.org/en/taller-de-restauracion-2/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/taller-de-restauracion-2/index.html	(from http://museopedrodeosma.org/en/)
00:48:32	22380/22380	---M--	200	added ('OK')	application/javascript	date:Mon,%2014%20Mar%202016%2011:57:06%20GMT	http://museopedrodeosma.org/wp-content/themes/Divi%202.5.5/Divi-2.5.5/includes/builder/scripts/jquery.magnific-popup.js?ver=2.5.5	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/themes/Divi%202.5.5/Divi-2.5.5/includes/builder/scripts/jquery.magnific-popup4468.js	(from http://museopedrodeosma.org/en/)
00:48:36	37971/37971	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20May%202016%2005:48:30%20GMT	http://museopedrodeosma.org/en/servicios/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/servicios/index.html	(from http://museopedrodeosma.org/en/)
00:48:36	48212/48212	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20May%202016%2005:48:30%20GMT	http://museopedrodeosma.org/en/agenda/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/agenda/index.html	(from http://museopedrodeosma.org/en/)
00:48:38	1403/1403	---M--	200	added ('OK')	application/javascript	date:Fri,%2006%20May%202016%2020:14:01%20GMT	http://museopedrodeosma.org/wp-includes/js/wp-embed.min.js?ver=4.4.3	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-includes/js/wp-embed.mincb20.js	(from http://museopedrodeosma.org/en/)
00:48:40	109345/109345	---M--	200	added ('OK')	application/javascript	date:Mon,%2014%20Mar%202016%2011:57:05%20GMT	http://museopedrodeosma.org/wp-content/themes/Divi%202.5.5/Divi-2.5.5/includes/builder/scripts/frontend-builder-scripts.js?ver=2.5.5	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/wp-content/themes/Divi%202.5.5/Divi-2.5.5/includes/builder/scripts/frontend-builder-scripts4468.js	(from http://museopedrodeosma.org/en/)
00:48:42	37784/37784	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20May%202016%2005:48:34%20GMT	http://museopedrodeosma.org/en/eventos-corporativos/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/eventos-corporativos/index.html	(from http://museopedrodeosma.org/en/)
00:48:43	51/51	---MCZ	200	added ('OK')	text/plain	date:Fri,%2020%20May%202016%2005:48:42%20GMT	http://fonts.googleapis.com/robots.txt		(from http://museopedrodeosma.org/en/)
00:48:45	37902/37902	---MC-	200	added ('OK')	text/html	date:Fri,%2020%20May%202016%2005:48:38%20GMT	http://museopedrodeosma.org/en/sesion-de-fotos-filmaciones/	/home/merunga/websites/museopedrodeosma/museopedrodeosma.org/en/sesion-de-fotos-filmaciones/index.html	(from http://museopedrodeosma.org/en/)
